cmd,cli,file,nodes,yang_path,action,phase,pr
bgp_redistribute_ipv6_metric_cmd,redistribute,bgpd/bgp_vty.c,BGP_IPV6_NODE,PARTIAL,fix,4-network-vpn,
bgp_redistribute_ipv6_metric_rmap_cmd,redistribute,bgpd/bgp_vty.c,BGP_IPV6_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv6_rmap_cmd,redistribute,bgpd/bgp_vty.c,BGP_IPV6_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv6_rmap_metric_cmd,redistribute,bgpd/bgp_vty.c,BGP_IPV6_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv6_table_cmd,redistribute table-direct (1-65535)$table_id [{metric$metric (0-4294967295)$metric_val|route-map WORD$rmap}],bgpd/bgp_vty.c,BGP_IPV6_NODE,PARTIAL,fix,4-network-vpn,
bgp_reject_as_sets_cmd,bgp reject-as-sets,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_retain_route_target_cmd,[no$no] bgp retain route-target all,bgpd/bgp_vty.c,BGP_VPNV4_NODE;BGP_VPNV6_NODE,MISSING,add,4-network-vpn,
bgp_router_id_cmd,bgp router-id A.B.C.D,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_rpkt_quanta_cmd,[no] read-quanta (1-10)$quanta,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_rr_allow_outbound_policy_cmd,bgp route-reflector allow-outbound-policy,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_segment_routing_srv6_cmd,segment-routing srv6,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,6-srv6-ls-upa-fs,
bgp_session_dscp_cmd,bgp session-dscp (0-63)$dscp,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_set_route_map_delay_timer_cmd,bgp route-map delay-timer (0-600),bgpd/bgp_vty.c,BGP_NODE;CONFIG_NODE,PARTIAL,fix,8-filter-rmap,
bgp_shutdown_cmd,bgp shutdown,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_shutdown_msg_cmd,bgp shutdown message MSG...,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_sid_vpn_export_cmd,[no] sid vpn per-vrf export <(1-4294967295)$sid_idx|auto$sid_auto|explicit$sid_explicit X:X::X:X$sid_value>,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_snmp_traps_bgp4_mibv2_cmd,[no$no] bgp snmp traps bgp4-mibv2,bgpd/bgp_snmp.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_snmp_traps_rfc4273_cmd,[no$no] bgp snmp traps rfc4273,bgpd/bgp_snmp.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_snmp_traps_rfc4382_cmd,[no$no] bgp snmp traps rfc4382,bgpd/bgp_snmp.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_srv6_encap_behavior_cmd,[no$no] encap-behavior <H_Encaps|H_Encaps_Red>$encap_behavior,bgpd/bgp_vty.c,BGP_SRV6_NODE,MISSING,add,6-srv6-ls-upa-fs,
bgp_srv6_locator_cmd,locator NAME$name,bgpd/bgp_vty.c,BGP_SRV6_NODE,MISSING,add,6-srv6-ls-upa-fs,
bgp_srv6_only_cmd,[no] srv6-only,bgpd/bgp_vty.c,BGP_SRV6_NODE,MISSING,add,6-srv6-ls-upa-fs,
bgp_suppress_duplicates_cmd,bgp suppress-duplicates,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,5-evpn,
bgp_suppress_fib_pending_cmd,[no] bgp suppress-fib-pending [(0-10000)$delay],bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_table_map_cmd,table-map WORD,bgpd/bgp_route.c,BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6_NODE;BGP_NODE,MISSING,add,4-network-vpn,
bgp_tcp_keepalive_cmd,bgp tcp-keepalive (1-65535)$idle (1-65535)$intvl (1-30)$probes,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_timers_cmd,timers bgp (0-65535) (0-65535),bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_update_delay_cmd,update-delay (0-3600)$delay [(1-3600)$wait],bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_use_underlying_nexthop_weight_cmd,[no] use-underlays-nexthop-weight,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_wpkt_quanta_cmd,[no] write-quanta (1-64)$quanta,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bmp_acl_cmd,[no] <ip|ipv6>$af access-list ACCESSLIST_NAME$access_list,bgpd/bgp_bmp.c,BMP_NODE,PARTIAL,fix,7-bmp-rpki,
bmp_connect_cmd,[no] bmp connect HOSTNAME port (1-65535) {min-retry (100-86400000)|max-retry (100-86400000)} [source-interface <WORD$src,bgpd/bgp_bmp.c,BMP_NODE,PARTIAL,fix,7-bmp-rpki,
bmp_import_vrf_cmd,[no] bmp import-vrf-view VRFNAME$vrfname,bgpd/bgp_bmp.c,BMP_NODE,PARTIAL,fix,7-bmp-rpki,
bmp_listener_cmd,bmp listener <X:X::X:X|A.B.C.D> port (1-65535),bgpd/bgp_bmp.c,BMP_NODE,PARTIAL,fix,7-bmp-rpki,
bmp_mirror_cmd,[no] bmp mirror,bgpd/bgp_bmp.c,BMP_NODE,PARTIAL,fix,7-bmp-rpki,
bmp_mirror_limit_cmd,bmp mirror buffer-limit (0-4294967294),bgpd/bgp_bmp.c,BGP_NODE,PARTIAL,fix,7-bmp-rpki,
bmp_monitor_cmd,[no] bmp monitor <ipv4|ipv6|l2vpn> <unicast|multicast|evpn|vpn> <pre-policy|post-policy|loc-rib>$policy,bgpd/bgp_bmp.c,BMP_NODE,PARTIAL,fix,7-bmp-rpki,
bmp_stats_cmd,[no] bmp stats [interval (100-86400000)],bgpd/bgp_bmp.c,BMP_NODE,PARTIAL,fix,7-bmp-rpki,
bmp_stats_send_experimental_cmd,[no] bmp stats send-experimental,bgpd/bgp_bmp.c,BMP_NODE,MISSING,add,7-bmp-rpki,
bmp_targets_cmd,,?,BGP_NODE,PARTIAL,fix,7-bmp-rpki,
dump_bgp_all_cmd,dump bgp <all|all-et|updates|updates-et|routes-mrt> PATH [INTERVAL],bgpd/bgp_dump.c,CONFIG_NODE,MISSING,add,1-globals,
dup_addr_detection_auto_recovery_cmd,dup-addr-detection freeze <permanent |(30-3600)$freeze_time_val>,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
dup_addr_detection_cmd,dup-addr-detection [max-moves (2-1000)$max_moves_val time (2-1800)$time_val],bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
evpnrt5_network_cmd,network <A.B.C.D/M|X:X::X:X/M> rd ASN:NN_OR_IP-ADDRESS:NN ethtag WORD label WORD esi WORD gwip <A.B.C.D|X:X::X:X> router,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,PARTIAL,fix,5-evpn,
exit_address_family_cmd,exit-address-family,bgpd/bgp_vty.c,BGP_EVPN_NODE;BGP_FLOWSPECV4_NODE;BGP_FLOWSPECV6_NODE;BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4U_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6U_NODE;BGP_IPV6_NODE;BGP_LS_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,MISSING,add,1-globals,
exit_vnc_cmd,exit-vnc,bgpd/rfapi/bgp_rfapi_cfg.c,BGP_VNC_DEFAULTS_NODE;BGP_VNC_L2_GROUP_NODE;BGP_VNC_NVE_GROUP_NODE,MISSING,skip-vnc,10-vnc,
exit_vni_cmd,exit-vni,bgpd/bgp_evpn_vty.c,BGP_EVPN_VNI_NODE,MISSING,add,5-evpn,
ipv6_bgp_distance_source_access_list_cmd,distance (1-255) X:X::X:X/M WORD,bgpd/bgp_route.c,BGP_IPV6M_NODE;BGP_IPV6_NODE,PARTIAL,fix,4-network-vpn,
ipv6_bgp_distance_source_cmd,distance (1-255) X:X::X:X/M,bgpd/bgp_route.c,BGP_IPV6M_NODE;BGP_IPV6_NODE,PARTIAL,fix,4-network-vpn,
ipv6_bgp_network_cmd,[no] network X:X::X:X/M$prefix \ 	[{route-map RMAP_NAME$map_name|label-index (0-1048560)$label_index}],bgpd/bgp_route.c,BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE,PARTIAL,fix,4-network-vpn,
macvrf_soo_global_cmd,mac-vrf soo ASN:NN_OR_IP-ADDRESS:NN$soo,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
match_alias_cmd,match alias ALIAS_NAME,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_aspath_cmd,match as-path AS_PATH_FILTER_NAME,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_aspath_count_cmd,[no$no] match as-path-count ![(0-1028)$count],bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_community_cmd,match community <(1-99)|(100-500)|COMMUNITY_LIST_NAME> [<exact-match$exact|any$any>],bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_community_limit_cmd,[no$no] match community-limit ![(0-65535)$limit],bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_ecommunity_cmd,match extcommunity <(1-99)|(100-500)|EXTCOMMUNITY_LIST_NAME> [<exact-match$exact|any$any>],bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_evpn_default_route_cmd,match evpn default-route,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_evpn_rd_cmd,match evpn rd ASN:NN_OR_IP-ADDRESS:NN,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_evpn_route_type_cmd,match evpn route-type <ead|1|macip|2|multicast|3|es|4|prefix|5>,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_evpn_vni_cmd,match evpn vni,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_extcommunity_limit_cmd,[no$no] match extcommunity-limit ![(0-65535)$limit],bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_ip_route_source_cmd,match ip route-source ACCESSLIST4_NAME,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_ip_route_source_prefix_list_cmd,match ip route-source prefix-list PREFIXLIST_NAME,bgpd/bgp_routemap.c,RMAP_NODE,PARTIAL,fix,8-filter-rmap,
match_ipv4_next_hop_cmd,match ip next-hop address A.B.C.D,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_ipv6_next_hop_address_cmd,match ipv6 next-hop address X:X::X:X,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_ipv6_next_hop_old_cmd,match ipv6 next-hop X:X::X:X,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_lcommunity_cmd,match large-community <(1-99)|(100-500)|LCOMMUNITY_LIST_NAME> [<exact-match$exact|any$any>],bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_local_pref_cmd,match local-preference (0-4294967295),bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_mac_address_cmd,match mac address ACCESSLIST_MAC_NAME,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_origin_cmd,match origin <egp|igp|incomplete>,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_peer_cmd,match peer <A.B.C.D$addrv4|X:X::X:X$addrv6|WORD$intf>,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_peer_local_cmd,match peer local,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_probability_cmd,match probability (0-100),bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_rpki_cmd,match rpki <valid|invalid|notfound>,bgpd/bgp_rpki.c,RMAP_NODE,PARTIAL,fix,7-bmp-rpki,
match_rpki_extcommunity_cmd,[no$no] match rpki-extcommunity <valid|invalid|notfound>,bgpd/bgp_routemap.c,RMAP_NODE,PARTIAL,fix,8-filter-rmap,
match_script_cmd,[no] match script WORD,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_source_protocol_cmd,match source-protocol,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_src_peer_cmd,match src-peer <A.B.C.D$addrv4|X:X::X:X$addrv6|WORD$intf>,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_vpn_dataplane_cmd,[no$no] match vpn dataplane [<mpls|srv6|vxlan>$dataplane],bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
match_vrl_source_vrf_cmd,match source-vrf NAME$vrf_name,bgpd/bgp_routemap.c,RMAP_NODE,MISSING,add,8-filter-rmap,
neighbor_accept_own_cmd,[no$no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor accept-own,bgpd/bgp_vty.c,BGP_VPNV4_NODE;BGP_VPNV6_NODE,MISSING,add,2-neighbor-session,
neighbor_activate_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> activate,bgpd/bgp_vty.c,BGP_EVPN_NODE;BGP_FLOWSPECV4_NODE;BGP_FLOWSPECV6_NODE;BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4U_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6U_NODE;BGP_IPV6_NODE;BGP_LS_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_activate_hidden_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> activate,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_addpath_paths_limit_cmd,neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor addpath-rx-paths-limit (1-65535)$paths_limit,bgpd/bgp_vty.c,BGP_EVPN_NODE;BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_addpath_tx_all_paths_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> addpath-tx-all-paths,bgpd/bgp_vty.c,BGP_EVPN_NODE;BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_addpath_tx_all_paths_hidden_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> addpath-tx-all-paths,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_addpath_tx_best_selected_paths_cmd,neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor addpath-tx-best-selected (1-6)$paths,bgpd/bgp_vty.c,BGP_EVPN_NODE;BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_addpath_tx_bestpath_per_as_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> addpath-tx-bestpath-per-AS,bgpd/bgp_vty.c,BGP_EVPN_NODE;BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_addpath_tx_bestpath_per_as_hidden_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> addpath-tx-bestpath-per-AS,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_advertise_interval_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> advertisement-interval (0-600),bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_advertise_map_cmd,[no$no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor advertise-map RMAP_NAME$advertise_str <exist-map|non-exist-map>$exist ,bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,MISSING,add,2-neighbor-session,
neighbor_advertise_map_hidden_cmd,[no$no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor advertise-map RMAP_NAME$advertise_str <exist-map|non-exist-map>$exist ,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_aigp_cmd,[no$no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor aigp,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_allowas_in_cmd,neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor allowas-in [route-map RMAP_NAME$rmap_name] [<(1-10)$allow_num|origin$origin_kw,bgpd/bgp_vty.c,BGP_EVPN_NODE;BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4U_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6U_NODE;BGP_IPV6_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_allowas_in_hidden_cmd,neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor allowas-in [route-map RMAP_NAME$rmap_name] [<(1-10)$allow_num|origin$origin_kw,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_as_override_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> as-override,bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,MISSING,add,2-neighbor-session,
neighbor_as_override_hidden_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> as-override,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_aspath_loop_detection_cmd,neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor sender-as-path-loop-detection,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_attr_unchanged_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> attribute-unchanged [{as-path|next-hop|med}],bgpd/bgp_vty.c,BGP_EVPN_NODE;BGP_FLOWSPECV4_NODE;BGP_FLOWSPECV6_NODE;BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_attr_unchanged_hidden_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> attribute-unchanged [{as-path|next-hop|med}],bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_bfd_check_controlplane_failure_cmd,[no] neighbor <A.B.C.D|X:X::X:X|WORD> bfd check-control-plane-failure,bgpd/bgp_bfd.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_bfd_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> bfd,bgpd/bgp_bfd.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_bfd_param_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> bfd (2-255) (50-60000) (50-60000),bgpd/bgp_bfd.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_bfd_profile_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> bfd profile BFDPROF,bgpd/bgp_bfd.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_bfd_strict_cmd,[no$no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor bfd strict,bgpd/bgp_bfd.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_bfd_strict_hold_time_cmd,[no$no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor bfd strict hold-time ![(1-4294967295)$hold_time],bgpd/bgp_bfd.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_capability_dynamic_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> capability dynamic,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_capability_enhe_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> capability extended-nexthop,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_capability_fqdn_cmd,[no$no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor capability fqdn,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_capability_link_local_cmd,[no$no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor capability link-local,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_capability_orf_prefix_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> capability orf prefix-list <both|send|receive>,bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE,PARTIAL,fix,3-af-policy,
neighbor_capability_orf_prefix_hidden_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> capability orf prefix-list <both|send|receive>,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,3-af-policy,
neighbor_capability_software_version_cmd,[no$no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor capability software-version [latest-encoding$latest_encoding],bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_damp_cmd,neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor dampening [(1-45)$half [(1-20000)$reuse (1-20000)$suppress (1-255)$max]],bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_default_originate_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> default-originate,bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_default_originate_hidden_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> default-originate,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_default_originate_rmap_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> default-originate route-map RMAP_NAME,bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE,PARTIAL,fix,8-filter-rmap,
neighbor_default_originate_rmap_hidden_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> default-originate route-map RMAP_NAME,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,8-filter-rmap,
neighbor_description_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> description LINE...,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_disable_addpath_rx_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> disable-addpath-rx,bgpd/bgp_vty.c,BGP_EVPN_NODE;BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,PARTIAL,fix,3-af-policy,
neighbor_disable_connected_check_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> <disable-connected-check|enforce-multihop>,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_disable_link_bw_encoding_ieee_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> disable-link-bw-encoding-ieee,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_distribute_list_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> distribute-list ACCESSLIST_NAME <in|out>,bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,MISSING,add,2-neighbor-session,
neighbor_distribute_list_hidden_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> distribute-list ACCESSLIST_NAME <in|out>,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_dont_capability_negotiate_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> dont-capability-negotiate,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_ebgp_multihop_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> ebgp-multihop,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_ebgp_multihop_ttl_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> ebgp-multihop (1-255),bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,2-neighbor-session,
neighbor_ecommunity_rpki_cmd,[no$no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor send-community extended rpki,bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_NODE;BGP_VPNV4_NODE;BGP_VPNV6_NODE,PARTIAL,fix,7-bmp-rpki,
neighbor_encap_srv6_cmd,[no] neighbor <X:X::X:X|WORD>$neighbor <encapsulation-srv6|encapsulation-srv6-relax>$encap,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,6-srv6-ls-upa-fs,
neighbor_encapsulation_srv6_or_mpls_cmd,[no] neighbor <A.B.C.D|X:X::X:X|WORD>$peer_str <encapsulation-srv6$srv6|encapsulation-mpls$mpls>,bgpd/bgp_vty.c,BGP_VPNV4_NODE;BGP_VPNV6_NODE,MISSING,add,6-srv6-ls-upa-fs,
neighbor_enforce_first_as_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> enforce-first-as,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
neighbor_extended_link_bw_cmd,[no] neighbor <A.B.C.D|X:X::X:X|WORD>$neighbor extended-link-bandwidth,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
